Question , Diffculty, Answer
"What is encapsulation in programming?","The bundling of data with the methods that operate on that data","medium","programming"
"What is a stack in programming?","A linear data structure that follows the Last In First Out (LIFO) principle","medium","programming"
"What is a queue in programming?","A linear data structure that follows the First In First Out (FIFO) principle","medium","programming"
"What is polymorphism in programming?","The ability to process objects differently based on their data type or class","hard","programming"
"What is an abstract class in programming?","A class that cannot be instantiated and is designed to be subclassed","medium","programming"
"What is a binary search tree?","A tree data structure where each node has at most two children and the left child is less than the parent node and the right child is greater","medium","programming"
"What is a linked list in programming?","A linear data structure where elements are stored in nodes, with each node pointing to the next","medium","programming"
"What is a graph in programming?","A collection of nodes connected by edges","medium","programming"
"What is a binary tree?","A tree data structure where each node has at most two children","medium","programming"
"What is a hash table?","A data structure that maps keys to values for efficient lookup","medium","programming"
"What is big O notation?","A mathematical notation used to describe the upper bound of an algorithm's running time","hard","programming"
"What is recursion in programming?","A function that calls itself","hard","programming"
"What is a buffer in computer science?","A temporary storage area for data being transferred","medium","programming"
"What is a prime number?","A number greater than 1 with no divisors other than 1 and itself","easy","mathematics"
"What is the Pythagorean theorem?","In a right triangle, a² + b² = c²","medium","mathematics"
"What is an integral in calculus?","The area under a curve","hard","mathematics"
"What is a quadratic equation?","An equation of the form ax² + bx + c = 0","medium","mathematics"
"What is the value of pi (π)?","Approximately 3.14159","easy","mathematics"
"What is a vector?","A quantity with both magnitude and direction","medium","mathematics"
"What is the circumference of a circle?","2πr, where r is the radius","easy","mathematics"
"What is the formula for compound interest?","A = P(1 + r/n)^(nt)","medium","mathematics"
"What is a matrix in mathematics?","A rectangular array of numbers","medium","mathematics"
"What is the Fibonacci sequence?","A sequence where each number is the sum of the two preceding ones","medium","mathematics"
"What is an adjective?","A word that describes a noun","easy","english"
"What is a haiku?","A three-line poem with a 5-7-5 syllable pattern","medium","english"
"What is a synonym?","A word that has the same or similar meaning as another word","easy","english"
"What is an antonym?","A word with the opposite meaning of another word","easy","english"
"What is alliteration?","The repetition of the initial consonant sounds in words","medium","english"
"What is an oxymoron?","A figure of speech that combines contradictory terms","medium","english"
"What is a narrative?","A story or account of events","easy","english"
"What is a paradox?","A statement that contradicts itself but may still be true","medium","english"
"What is personification?","Giving human characteristics to non-human things","medium","english"
"What is a theme in literature?","The central topic or idea explored in a text","medium","english"
"What is DNA?","Deoxyribonucleic acid, the molecule that carries genetic information","medium","biology"
"What is the function of mitochondria?","They produce energy (ATP) for the cell","easy","biology"
"What is an enzyme?","A protein that speeds up chemical reactions","medium","biology"
"What is homeostasis?","The maintenance of a stable internal environment","medium","biology"
"What are the stages of the cell cycle?","Interphase, mitosis, cytokinesis","medium","biology"
"What is osmosis?","The diffusion of water across a selectively permeable membrane","medium","biology"
"What is the function of chloroplasts?","They conduct photosynthesis in plant cells","easy","biology"
"What are antibodies?","Proteins that recognize and neutralize pathogens","medium","biology"
"What is RNA?","Ribonucleic acid, involved in protein synthesis","medium","biology"
"What are prokaryotic cells?","Cells without a nucleus","easy","biology"
"What is the function of ribosomes?","They synthesize proteins","easy","biology"
"What are the phases of mitosis?","Prophase, metaphase, anaphase, telophase","medium","biology"
"What is the difference between plant and animal cells?","Plant cells have a cell wall and chloroplasts, animal cells do not","easy","biology"
"What is a hypothesis in scientific research?","A proposed explanation for a phenomenon, based on limited evidence","medium","science"
"What is Newton's first law of motion?","An object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force","medium","science"
"What is the boiling point of water in Celsius?","100 degrees Celsius","easy","science"
"What is photosynthesis?","The process by which plants use sunlight to synthesize foods from carbon dioxide and water","medium","science"
"What is the chemical formula for water?","H2O","easy","science"
"What is an atom?","The basic unit of a chemical element","easy","science"
"What are the three states of matter?","Solid, liquid, gas","easy","science"
"What is the speed of light?","Approximately 299,792 kilometers per second (in vacuum)","hard","science"
"What is a chemical reaction?","A process that leads to the transformation of one set of chemical substances to another","medium","science"
"What is a molecule?","Two or more atoms bonded together","easy","science"
"What is an ecosystem?","A biological community of interacting organisms and their physical environment","medium","science"
"What is the periodic table?","A tabular arrangement of the chemical elements, organized by their atomic number","easy","science"
"What is the formula for density?","Density = mass/volume","medium","science"
"What is a gene?","A sequence of DNA that codes for a protein and thus determines a trait","medium","biology"
"What is evolution?","The process by which different kinds of living organisms are thought to have developed and diversified from earlier forms","medium","biology"
"What is the function of the respiratory system?","To supply the blood with oxygen and remove carbon dioxide","easy","biology"
"What is a cell membrane?","A biological membrane that separates the interior of all cells from the outside environment","easy","biology"
"What is a mutation?","A change in the DNA sequence of a cell's genome","medium","biology"
"What is the scientific method?","A systematic procedure for collecting and analyzing evidence","medium","science"
"What is a galaxy?","A system of millions or billions of stars, together with gas and dust, held together by gravitational attraction","medium","science"
"What is an eclipse?","An event where one celestial body moves into the shadow of another celestial body","medium","science"
"What is a black hole?","A region of space having a gravitational field so intense that no matter or radiation can escape","hard","science"
"What is the Big Bang Theory?","The prevailing cosmological model explaining the origin of the universe","medium","science"
"What is the function of red blood cells?","To carry oxygen from the lungs to the rest of the body","easy","biology"
"What is mitosis?","The process of cell division that results in two genetically identical daughter cells","medium","biology"
"What is meiosis?","The process of cell division that results in four genetically diverse daughter cells","medium","biology"
"What is a hormone?","A regulatory substance produced in an organism and transported in tissue fluids to stimulate specific cells or tissues into action","medium","biology"
"What is a neuron?","A specialized cell transmitting nerve impulses; a nerve cell","medium","biology"
"What is the immune system?","The body's defense system against infectious organisms and other invaders","easy","biology"
"What is the endocrine system?","A collection of glands that produce hormones that regulate metabolism, growth and development, tissue function, sexual function, reproduction, sleep, and mood","medium","biology"
"What is a habitat?","The natural home or environment of an animal, plant, or other organism","medium","biology"
"What is biodiversity?","The variety of life in the world or in a particular habitat or ecosystem","medium","biology"
"What is a biome?","A large naturally occurring community of flora and fauna occupying a major habitat","medium","biology"
"What is a food chain?","A hierarchical series of organisms each dependent on the next as a source of food","easy","biology"
"What is the function of the circulatory system?","To transport nutrients, oxygen, and hormones to cells and remove waste products","easy","biology"
"What is natural selection?","The process whereby organisms better adapted to their environment tend to survive and produce more offspring","medium","biology"
"What is a producer in an ecosystem?","An organism that can make its own food from inorganic substances, typically through photosynthesis","easy","biology"
"What is a consumer in an ecosystem?","An organism that feeds on other organisms for energy","easy","biology"
"What is a decomposer?","An organism, especially a soil bacterium, fungus, or invertebrate, that decomposes organic material","medium","biology"
"What is an acid?","A substance that donates protons or hydrogen ions and/or accepts electrons","medium","chemistry"
"What is a base in chemistry?","A substance that accepts protons from acids","medium","chemistry"
"What is the pH scale?","A scale used to specify the acidity or basicity of an aqueous solution","medium","chemistry"
"What is a catalyst?","A substance that increases the rate of a chemical reaction without itself undergoing any permanent chemical change","medium","chemistry"
"What is an ionic bond?","A chemical bond formed between two ions with opposite charges","medium","chemistry"
"What is a covalent bond?","A chemical bond that involves the sharing of electron pairs between atoms","medium","chemistry"
"What is the law of conservation of mass?","Mass is neither created nor destroyed in a chemical reaction","medium","chemistry"
"What is a molecule?","Two or more atoms bonded together","easy","chemistry"
"What is polymorphism in programming?","The ability to process objects differently based on their data type or class","hard","programming"
"What is an array in programming?","A collection of elements identified by index or key","medium","programming"
"How do you declare a variable in Python?","variable_name = value","easy","programming"
"What is a loop in programming?","A structure that repeats a block of code","medium","programming"
"What is an algorithm?","A step-by-step procedure for solving a problem","medium","programming"
"What is inheritance in programming?","A mechanism where a new class inherits properties from an existing class","medium","programming"
"What is a dictionary in Python?","A collection of key-value pairs","easy","programming"
"What is encapsulation in programming?","The bundling of data with the methods that operate on that data","medium","programming"
"What is a stack in programming?","A linear data structure that follows the Last In First Out (LIFO) principle","medium","programming"
"What is a queue in programming?","A linear data structure that follows the First In First Out (FIFO) principle","medium","programming"
"What is DNA?","Deoxyribonucleic acid, the molecule that carries genetic information","medium","biology"
"What is the function of mitochondria?","They produce energy (ATP) for the cell","easy","biology"
"What is an enzyme?","A protein that speeds up chemical reactions","medium","biology"
"What is homeostasis?","The maintenance of a stable internal environment","medium","biology"
"What are the stages of the cell cycle?","Interphase, mitosis, cytokinesis","medium","biology"
"What is osmosis?","The diffusion of water across a selectively permeable membrane","medium","biology"
"What is the function of chloroplasts?","They conduct photosynthesis in plant cells","easy","biology"
"What are antibodies?","Proteins that recognize and neutralize pathogens","medium","biology"
"What is RNA?","Ribonucleic acid, involved in protein synthesis","medium","biology"
"What are prokaryotic cells?","Cells without a nucleus","easy","biology"
"What is a prime number?","A number greater than 1 with no divisors other than 1 and itself","easy","mathematics"
"What is the Pythagorean theorem?","In a right triangle, a² + b² = c²","medium","mathematics"
"What is an integral in calculus?","The area under a curve","hard","mathematics"
"What is a quadratic equation?","An equation of the form ax² + bx + c = 0","medium","mathematics"
"What is the value of pi (π)?","Approximately 3.14159","easy","mathematics"
"What is a vector?","A quantity with both magnitude and direction","medium","mathematics"
"What is the circumference of a circle?","2πr, where r is the radius","easy","mathematics"
"What is the formula for compound interest?","A = P(1 + r/n)^(nt)","medium","mathematics"
"What is a matrix in mathematics?","A rectangular array of numbers","medium","mathematics"
"What is the Fibonacci sequence?","A sequence where each number is the sum of the two preceding ones","medium","mathematics"
"What is an adjective?","A word that describes a noun","easy","english"
"What is a haiku?","A three-line poem with a 5-7-5 syllable pattern","medium","english"
"What is a synonym?","A word that has the same or similar meaning as another word","easy","english"
"What is an antonym?","A word with the opposite meaning of another word","easy","english"
"What is alliteration?","The repetition of the initial consonant sounds in words","medium","english"
"What is an oxymoron?","A figure of speech that combines contradictory terms","medium","english"
"What is a narrative?","A story or account of events","easy","english"
"What is a paradox?","A statement that contradicts itself but may still be true","medium","english"
"What is personification?","Giving human characteristics to non-human things","medium","english"
"What is a theme in literature?","The central topic or idea explored in a text","medium","english"
"What is a linked list in programming?","A linear data structure where elements are stored in nodes, with each node pointing to the next","medium","programming"
"What is a binary tree?","A tree data structure where each node has at most two children","medium","programming"
"What is a graph in programming?","A collection of nodes connected by edges","medium","programming"
"What is the principle of divide and conquer?","A strategy of solving a problem by breaking it into smaller sub-problems, solving each one independently, and combining their solutions","hard","programming"
"What is an abstract data type (ADT)?","A data type defined by its behavior rather than its implementation","hard","programming"
"What is a hash table?","A data structure that maps keys to values for efficient lookup","medium","programming"
"What is big O notation?","A mathematical notation used to describe the upper bound of an algorithm's running time","hard","programming"
"What is a buffer in computer science?","A temporary storage area for data being transferred","medium","programming"
